K,N_ANGLES,G0_sum,G0_dtheta,G0_cost,G0_it,G1_sum,G1_dtheta,G1_cost,G1_it,G2_sum,G2_dtheta,G2_cost,G2_it,G3_sum,G3_dtheta,G3_cost,G3_it,G4_sum,G4_dtheta,G4_cost,G4_it,normalized_mae
5,3,9.545,1.4e-05,55.309988,22,7.644,7e-06,34.123224,26,17.95,1.7e-05,116.514873,32,11.173,4.2e-05,131.654203,26,14.166,1.1e-05,40.201387,22,28.906846881782123
5,4,0.016,0.0,0.0,26,7.628,4e-06,23.449939,32,12.979,3.7e-05,150.271531,24,10.746,4.3e-05,133.965128,26,0.901,1e-06,0.038991,40,14.162396720417957
5,5,11.737,3.3e-05,139.738189,27,-0.005,0.0,0.0,26,10.794,2.1e-05,161.022382,29,5.351,5.4e-05,182.707551,34,8.93,1.7e-05,66.276533,27,16.894196914521867
5,9,8.817,1.5e-05,261.319146,29,0.051,0.0,0.0,32,4.858,0.000127,627.10431,34,9.085,8.5e-05,398.465312,35,0.409,1e-06,0.098425,37,9.449572810503884
5,10,-0.014,0.0,0.0,31,7.606,1.6e-05,95.561408,29,11.466,8.1e-05,453.823258,31,12.083,3.4e-05,323.025286,31,0.143,0.0,0.042022,41,13.629049390110737
5,8,6.246,2.5e-05,131.13816,32,7.597,1.5e-05,88.230853,31,-0.018,0.0,0.021417,73,12.015,3.1e-05,216.923684,43,0.485,0.0,0.0,32,12.582103430003158
5,6,0.022,0.0,0.036765,46,0.058,1e-06,0.011688,53,12.401,1.5e-05,169.996571,41,11.157,5.4e-05,247.756778,28,0.676,1e-06,0.092693,40,9.086956720436339
5,15,9.31,5.1e-05,374.649729,31,0.021,1e-06,0.011255,60,7.118,4.5e-05,446.071674,33,9.985,9.2e-05,598.177687,38,-0.041,0.0,0.0,41,10.560990080059371
5,12,8.805,3e-05,260.043997,29,0.013,1e-06,0.046835,47,0.057,0.0,0.064112,61,9.424,6.8e-05,563.858903,31,0.256,1e-06,0.04562,37,7.744015956865259
5,20,7.115,5.4e-05,474.530579,33,-0.008,1e-06,0.073544,41,8.971,9e-05,725.508108,31,10.828,8.3e-05,712.105497,36,0.043,0.0,0.055837,41,10.531927115167662
5,18,0.023,0.0,0.01803,69,0.041,0.0,0.037648,50,7.258,0.000147,605.285452,69,12.622,0.000105,882.855458,32,0.225,0.0,0.092622,38,7.513055463629123
5,24,8.3,7.9e-05,649.216293,37,-0.004,1e-06,0.077311,44,7.879,9.2e-05,1025.582281,29,11.55,9.2e-05,769.198727,48,-0.006,1e-06,0.020225,39,10.9283585502184
5,30,-0.006,0.0,0.0,54,0.005,0.0,0.065541,49,7.325,0.000127,1056.282138,39,11.332,7.5e-05,1412.980705,31,0.019,1e-06,0.059717,37,6.888398350983661
5,36,6.936,0.000106,1017.813506,34,-0.003,1e-06,0.14831,55,6.805,0.000141,1120.016186,45,11.357,0.000101,1807.188567,32,0.144,1e-06,0.17661,39,9.941671739567546
5,40,0.012,1e-06,0.068131,61,0.003,1e-06,0.116159,44,-0.008,1e-06,0.088797,62,9.777,0.000142,1857.510268,34,0.047,1e-06,0.085438,46,3.7227497722083656
5,45,0.008,1e-06,0.019604,63,0.017,0.0,0.049248,50,7.311,0.000108,1650.258625,37,9.078,0.00014,1879.432006,45,-0.021,1e-06,0.081126,40,6.044389757176459
5,60,0.014,1e-06,0.098753,59,-0.02,0.0,0.071433,46,-0.015,1e-06,0.13433,77,0.007,1e-06,0.061139,86,-0.017,1e-06,0.15582,43,0.03809461362116128
5,72,-0.0,1e-06,0.130386,61,-0.015,1e-06,0.137028,60,0.001,1e-06,0.104575,81,-0.005,0.0,0.077025,95,0.031,1e-06,0.227701,40,0.03172420502233478
5,90,0.013,0.0,0.067542,58,0.002,0.0,0.080889,53,-0.01,1e-06,0.250947,80,11.302,0.000242,4311.497901,31,-0.008,1e-06,0.229144,46,4.272737455420077
5,120,0.002,1e-06,0.236638,64,0.003,1e-06,0.233098,55,0.001,1e-06,0.20606,85,0.014,1e-06,0.149589,87,-0.001,1e-06,0.190658,42,0.009111861882546866
5,180,0.012,1e-06,0.240729,61,0.003,0.0,0.310725,54,-0.019,2e-06,0.381502,95,0.003,1e-06,0.419589,90,0.003,1e-06,0.481387,40,0.017186461685952725
5,360,0.004,1e-06,0.509277,61,-0.001,1e-06,0.569957,49,-0.008,1e-06,0.760058,76,0.014,0.0,0.675107,88,0.006,1e-06,0.720345,41,0.014412196897899248
